()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()||<黑屏2><BIN>82</BIN><BGM>BGM_Room</BGM>:인형 숙소.+<color=#00CCFF>신규 통신 요청. 응답하겠습니까?</color>
Welrod(0)<Speaker>웰로드</Speaker>||:처음 보는 식별 신호... 이런 시간에 누구지?+혹시, 긴급 임무에 내가 필요한 걸까?
Welrod(0)<Speaker>웰로드</Speaker>||<SE1>AVG_tele_connect</SE1>:여기는 웰로드 Mk II.
M82A1(0)<Speaker>M82A1</Speaker><通讯框>;Welrod(0)||:<color=#00CCFF>처음 뵙겠습니다, 웰로드. 저는 M82A1입니다.</color>+<color=#00CCFF>갑작스레 송구하오나, 저 대신 수행해 주었으면 하는 임무가 있어 이렇게 연락을 드렸습니다.</color>
M82A1(0);Welrod(0)<Speaker>웰로드</Speaker>||:미안해할 것 없다, 동료의 부담을 덜어주는 것도 나의 의무니.+허나 그리폰의 임무는 전부 합리적으로 배정된 것일 터. 어떤 사유로 내게 부탁하고자 하는 거지?
M82A1(0)<Speaker>M82A1</Speaker>;Welrod(0)||:<color=#00CCFF>지휘관이 주신 임무이니 저도 스스로, 완벽히 수행하고 싶습니다. 함부로 책임을 남에게 떠미는 인형도 아닙니다.</color>+<color=#00CCFF>하지만 제 개인적인 사정으로 인해 이 임무를 직접 수행할 수 없게 되었고, 기지에서 신뢰할 수 있는 인형 중 현재 여유가 있는 자는 당신밖에 떠오르질 않았습니다.</color>
M82A1(0);Welrod(0)<Speaker>웰로드</Speaker>||:...알았다, 자세한 사정을 말하기 어렵다면 묻지 않도록 하지.+임무라면 얼마든지 내가 대신 수행해 주겠다. 임무의 예정 시각과 내용은 어떻게 되지?
M82A1(0)<Speaker>M82A1</Speaker>;Welrod(0)||:<color=#00CCFF>도움의 손길에 감사드립니다. 지금 상세 사항을 전달했습니다.</color>
Welrod(0)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:<color=#00CCFF>통신 종료.</color>+<color=#00CCFF>새로운 친구 등록 요청을 받았습니다. 수락하겠습니까?</color>+<color=#00CCFF>새로운 메시지를 받았습니다. - [임무 내용]</color>
Welrod(0)<Speaker>웰로드</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:"인형의 구원 교단"... 듣기만으로도 수상쩍은 이름이로군.+이 교단에게서 전직 인형제조업자였던 상인을 호위하는 임무라.+꽤 단순한 임무... 아니, 그럼 안 된다 웰로드! 언제 어디서 어둠이 도사리고 있을지 모르는데, 방심은 금물이지!+우선 카리나 씨에게 보고부터 해야겠다.
()||<黑屏2><BIN>97</BIN><BGM>BGM_Hello</BGM>:기지 복도.
Welrod(0)<Speaker>웰로드</Speaker>||:카리나 씨!
NPC-Kalin(2)<Speaker>카리나</Speaker>;Welrod(0)||:안녕 웰로드~ 어쩐 일이야? 그렇게 뛰어오고.+마인드맵 업그레이드용 소체라면 내일 오후에 출발한대.
NPC-Kalin(2);Welrod(0)<Speaker>웰로드</Speaker>||:네, 그 일에 관해 보고할 것이 생겼습니다.+방금 M82A1에게서 임무를 양도받았습니다만, 현재 상태로도 수행 및 완수 가능한 임무라 판단, 마인드맵 업그레이드 일정을 이 임무를 완수한 후로 미루고 싶습니다.
NPC-Kalin(3)<Speaker>카리나</Speaker>;Welrod(0)||:아아, 그 임무를 대신 받았다는 게 너였구나! 안 그래도 방금 막 신청을 받아서 아직 처리는 못했는데 잘됐다.+임무 소요 시간은 대충 3일 정도로 예상되니까, 여기에 주말까지 더하면... 7일 후에 하는 걸로 해 둘게.
NPC-Kalin(3);Welrod(0)<Speaker>웰로드</Speaker>||:감사합니다, 그럼 당장 출발하겠습니다!
NPC-Kalin(3)<Speaker></Speaker>||:답변을 받은 웰로드는 임무 수행을 위해 서둘러 자리를 떴다. 한편, 복도에 남은 카리나는 태블릿 화면에 띄워진 그 임무의 내용을 보곤 생각에 잠겼다.
NPC-Kalin(3)<Speaker>카리나</Speaker>||:"인형의 구원 교단"이라, 분명히 어디서 본 이름인데...+누구랑 관련된 일이었나?
NPC-Kalin(2)<Speaker>카리나</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:아아! 걔가 그래서...!
()||<黑屏2><BIN>84</BIN><BGM>BGM_Sunshine</BGM>:......+웰로드가 출발한 다음날, 어느 도시의 중심가.
Welrod(0)<Speaker>웰로드</Speaker>||:여기까지면 됩니까?
NPC-Arla(0)<Speaker>상인</Speaker>;Welrod(0)||:네, 감사합니다. 영수증도 끊어서 그리폰 본부에 보낼게요.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||:한 가지 여쭤도 되겠습니까, 델타 씨?
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||:얼마든지요.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||:호위역으로 특별히 엘리트 전술인형을 지명하셨다 하는데, 이토록 간단한 임무에 굳이 엘리트 전술인형이 필요했습니까?+아니면, 위협이 더 크다 예상하신 겁니까?
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||:그렇죠, 인형의 구원 교단은 저 같은 일개 상인이 대적할 수 있는 상대가 아니라서 말입니다.+그리폰 같은 레벨의 회사 정도는 되어야 놈들이 겁먹고 안 건드릴 테죠, 허허허... 그래서 큰돈 들여 당신들께 의뢰했습니다.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||:그 "인형의 구원 교단"이란 건 대체 무엇이죠? 상당히 불쾌한 이름이로군요.
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||:어... 일단은 저도 한때 그 교단의 신자였던지라 그런 말을 들으니 좀 속상하네요.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||:아, 죄송합니다.+하지만 당신의 말씀과는 달리, 여기까지 오면서 수상한 거동을 보이는 자는 없었습니다.
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||:뭔가 의심스러우신가요? 그리폰은 명성이 자자한 PMC인데, 일개 상인인 제가 당신을 손쉽게 속일 수도 없잖겠습니까.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||:의뢰받은 것과 달리 일이 너무 수월하게 끝나서 말이죠.
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||:인형 아가씨, 너무 그런 눈으로 보지 말아 주세요.+제가 설명해드려도 도움이 되진 않을 겁니다. 교단에서 나온지 꽤 됐으니, 거기도 그사이에 많이 변했을 테니까요.+그리고 인형의 구원 교단은 무슨 범죄조직 같은 게 아닙니다. 그저, 여타 종교들처럼 마음의 안식을 바라는 종교 집단일 뿐이에요.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||<BGM>BGM_Empty</BGM>:그럼, 당신은 왜 그곳의 신도이기를 그만뒀습니까?
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||<BGM>m_avg_labyrinth</BGM>:...믿던 신이 사라져서요.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||:신이 사라지다니... 그게 무슨 뜻이죠?
NPC-Arla(0)<Speaker>델타</Speaker>;Welrod(0)||:그건 인형 아가씨가 알아서 좋을 거 없어요.+그냥, 놈들이 보이면 빨리 도망치기만 하면 됩니다.
NPC-Arla(0);Welrod(0)<Speaker>웰로드</Speaker>||:범죄조직 같은 것이 아니라 했잖습니까.
