()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM><SE1>AVG_Helicopter</SE1>:어두운 밤, 어느 밀림의 전장.
()<Speaker></Speaker>||<BIN>2</BIN><黑屏2><SE1>Stop_AVG_loop</SE1>:한 소대가 비행기에서 뛰어내렸다.
MP5Mod(0)<Speaker>MP5</Speaker>||<BGM>BGM_Moon</BGM>:음, 도착했어요!
MP5Mod(0)<Speaker>MP5</Speaker>||:우리가 임시 편성된 소대긴 하지만, 이번 임무는 주로 각자 따로 행동하게 될 테니 모두 안전에 주의하세요!+이건 모두를 위해 준비한 물자팩이니 잘 보관하시고요.
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:감사합니다. 그런데... 왜 우유가 있어요?
MP5Mod(0)<Speaker>MP5</Speaker>;M1897Mod(0)||:지휘관님은 우리가 키가 작아서 작은 구멍에도 잘 들어갈 수 있겠다고 이런 임무를 주신 거예요!+나도 키가 좀만 더 컸더라면...
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:그래도 키가 작으니까 이 임무에 선발된 거잖아요. 그리고, 적의 후방 거점을 청소하는 일이니 단련도 되고요.
MP5Mod(0)<Speaker>MP5</Speaker>;M1897Mod(0)||:어린애 취급을 받은 건 사실이잖아요! 우리 키가 좀 더 컸다면 더 멋지게 활약하는 임무를 받았을 텐데!+어? F1, 오늘따라 유난히 조용하네요?
MP5Mod(0);F1(0)<Speaker>F1</Speaker>||:그런가? 기분 탓이겠지.
MP5Mod(0)<Speaker>MP5</Speaker>||<黑屏1>:수상한데요...+뭐 그건 나중에 얘기하고, 우선 임무를 수행하죠!
()<Speaker></Speaker>||<黑屏2><BIN>55</BIN><BGM>BGM_Empty</BGM>:지형도 복잡하고 신호까지 나쁜 악조건 속에서도, 세 인형들은 작은 몸집 덕분에 금세 안전한 구역을 확보하고 임시 보급고로 삼았다.
MP5Mod(0)<Speaker>MP5</Speaker>||:하아, 왜 작전명도 하필 "리틀 걸즈"라 지으셨담... 우리 모두 나름 산전수전 다 겪은 역전의 용사인데!+응? M1897, 거기 제가 청소했어요.
M1897Mod(0)<Speaker>M1897</Speaker>||:아직도 먼지가 잔뜩이잖아요! 짐도 바닥에 두면 안 돼요, 실수로 밟기라도 하면 어떡해요!?+앗, F1? 당신 가방에서 물건 떨어졌어요. 어... 이건 책이네요?
M1897Mod(0);F1(0)<Speaker>F1</Speaker>||:응? 책? 아아앗 그거 얼마 전에 산 시집이잖아!+어떡해, 더러워졌어...
M1897Mod(0)<Speaker>M1897</Speaker>||:괜찮아요, 세제 있으니까 제가 닦아볼게요.
()<Speaker></Speaker>||:책에 묻은 진흙을 조심스레 닦아내고, M1897은 세 명의 짐을 싸서 선반 위에 올려놨다.
F1(0)<Speaker>F1</Speaker>||<BGM>BGM_Hello</BGM>:휴우... 고마워! 산 지 얼마 되지도 않은 거라 벌써 상하면 엄청 속상했을 텐데, 덕분에 살았어.
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:천만에요, 제 특기인걸요.+그런데 무슨 안 좋은 일이라도 있었나요? 오늘따라 왠지 당신답지 않은데요...
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:안 좋은 일이라... 혹시, 지휘관님이 정하신 일정과 관련 있나요?+그러고 보니 F1이 다음 개조 명단에 올랐다던데.
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:와아, 그거 좋은 일이네요. 우리도 개조받고 강해졌잖아요~
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:개조를 받기 전엔 누구라도 불안한 법이에요, M1897도 싫다고 떼쓴 적 있는걸요.
F1(0)<Speaker>F1</Speaker>||:...왜 꼭 개조를 해야 해? 그냥 이대로의 나면 안 돼? 그리고 뭘 개조하는데? 몸? 성격? 마인드맵?
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:으음... F1은 자신을 어떻게 바꾸고 싶은지 생각해본 적 없나요? 예를 들어, 키가 커지고 싶다던가요.+카리나 씨도 요구 사항 있으면 지휘관님한테 미리 말씀드리랬어요.
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:<color=#A9A9A9>하지만 제 키는...</color>
F1(0)<Speaker>F1</Speaker>;MP5Mod(0)||:그런 문제가 아니라... 난 말이야, 하루 종일 싸움만 하고 싶지 않아. 물론 전술인형의 일이 싸우는 거지만, 난... 나 스스로 추구하는 게 따로 있다고.
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:그게 뭔데요?
F1(0)<Speaker>F1</Speaker>||:...인형한텐 딱히 쓸모없는 일.
F1(0);M1897Mod(0)<Speaker>M1897</Speaker>||:그런 거라면 저도――
F1(0)<Speaker>F1</Speaker>;M1897Mod(0)||:너랑은 달라! 네 청소 취미는 실용성이라도 있지! 언제 전역하더라도 다시 가정부 일을 할 수 있잖아!+하지만 난... 내가 좋아하는 일은 실생활에 별로 쓸모도 없고, 어떨 땐 다른 사람 기분까지 상하게 한단 말이야... 그래도 난 이런 내가 좋아! 개조 따위 전~혀! 받고 싶지 않아!
F1(0);MP5Mod(0)<Speaker>MP5</Speaker>||:그럼 다르게 생각해보는 건 어때요? 카리나 씨의 마인드맵 업그레이드 실력이 얼마나 좋다고요. 분명 F1의 마음에도 쏙 들 모습으로 만들어 줄 수 있을 거예요.
F1(0)<Speaker>F1</Speaker>||:웃기고 있네, 얼마 전에 누구 손을 거꾸로 끼웠더만!
MP5Mod(0)<Speaker>MP5</Speaker>||:에, 에이~ 그 정도야 사소한 문제죠... 마인드맵을 잘못 설치한 것도 아닌데.
MP5Mod(0);M1897Mod(0)<Speaker>M1897</Speaker>||:그런 일도 있었던 것 같은데...
MP5Mod(0)<Speaker>MP5</Speaker>||:M1897! F1을 격려해 줘야 하는데 그런 말 하면 어떡해요!
F1(0)<Speaker>F1</Speaker>||:글쎄 중요한 건 그게... 에이 몰라, 어차피 지휘관이 정한 일이라 거스르지도 못하는걸. 나중에 너희랑 수다 떨 F1은 과연 몇 세대일지 모르겠다.
