()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker></Speaker>||<黑屏1>:...몇 년 전.
XM8(0)<Speaker>XM8</Speaker>||<BIN>276</BIN><黑屏2><BGM>GF_Memorial</BGM><GradientShow>2</GradientShow>:요즘 주문이 별로 안 들어오네, 역시 체스 파트너가 전망 없는 직업인 걸까...+아님 내가 이름을 잘못 지었나? 음차해서 좀 귀엽게 "보시"라고 지은 거 꽤 기발한 이름이라고 생각했는데 말이야.+뭐야, 왜 내 평가 점수가 별 2개 반이 됐어?+최근 28명이나 내가 태도 불량이라고 평가를 남겼네? 대체 뭐라고 적은 거야?
()<Speaker></Speaker>||:<color=#00CCFF>ㅠㅠ, 생긴 건 귀엽던데 입이 겁나 더러워요!</color>+<color=#00CCFF>저 보고 여자애랑 대화해 본 적 없지라고 물었어요... 대화해 본 적 있다고요, 정말루!</color>
XM8(0)<Speaker>XM8</Speaker>||:에잇, 실력 허접한 주제에 자격지심도 없는 건 대체 머리에 나사 몇 개 빠진 거야!+그리고 난 체스 파트너지, 무슨 소개팅 상대가 아니라고 정말!
()<Speaker></Speaker>||<震屏><SE1>AVG_Door_Hit</SE1>:XM8는 테이블을 내리치고 댓글창을 빠르게 넘겼다.+그러던 중 수많은 혹평 중에 만점을 매긴 사람이 하나 있었다.+드디어 자신을 알아주는 사람이 나타났다고 기쁜 마음에 그 댓글을 열어봤다.
()<Speaker></Speaker>||:<color=#00CCFF>보시 쨔응 매도하는 거 너무 커여워! 중독돼서 매일 반복 재생하고 있어요, 엉엉 날 가져요 보시 쨔응!</color>
XM8(0)<Speaker>XM8</Speaker>||:......+............
()<Speaker></Speaker>||:XM8은 아무 말도 하지 않고 그냥 댓글창을 닫고 기분 전환하러 바람쐬러 갈 준비를 했다.
()<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:그녀가 옷을 거의 다 입었을 때, 컴퓨터에 격식 차린 우편이 도착했다.+뜻밖에도 그건 채용제안서였다.+XM8는 궁금해 하며 위에 적힌 연락처에 전화를 걸었다.+그러자 상대방은 바로 화상 통화를 켰고, 단정한 옷차림의 중년 남성이 나타났다.
NPC-Powell(0)<Speaker>벨렌코</Speaker><通讯框>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>처음 뵙겠습니다, 혹시 보시 씨 맞습니까?</color>
NPC-Powell(0);XM8(0)<Speaker>XM8</Speaker>||:예, 저기 저한테 보내신 그거... 채용서 맞나요?
