()||<BIN>8</BIN><BGM>BGM_Victory</BGM><黑屏2>:그리폰 지휘실
M1911Mod(0)<Speaker>M1911</Speaker>||<BIN>8</BIN>:Hi~ 달링!+이번 작전의 보고를 하러 왔어.
지휘관()<Speaker>지휘관</Speaker>||<BIN>8</BIN>:M1911인가...+어라?!
지휘관()<Speaker>지휘관</Speaker>||<BIN>8</BIN>:너 그 차림은...
M1911Mod(0)<Speaker>M1911</Speaker>||<BIN>8</BIN>:이건 내 새 장비야, 가장 먼저 달링에게 보여주러 온 거라구.+어때? 마음에 들어?
M1911Mod(0)<Speaker>지휘관</Speaker>||<BIN>8</BIN>:음, 아주 괜찮아.+이전보다 생기 넘쳐 보이고...
M1911Mod(0)<Speaker>M1911</Speaker>||<BIN>8</BIN>:달링 그 말은... 저번에는 늙어 보였다는 거야?
M1911Mod(0)<Speaker>지휘관</Speaker>||<BIN>8</BIN>:아... 아냐... 그런 건 아니라고!+크흠, 어쨌든... 어떤 의미로든 많이 강해진 것 같다는 말이야.
M1911Mod(0)<Speaker>M1911</Speaker>||<BIN>8</BIN>:하하, 알아... 나도 농담이었어.+달링에게 보다 많이 도움이 되기 위해서, 나도 노력해야 하니까.+제자리걸음만 했다가는 정말로 애들이 말하는 "할망구"가 되고 말 테니...
M1911Mod(0)<Speaker>지휘관</Speaker>||<BIN>8</BIN>:그래, 그거면 충분해.+그런 마음을 갖고 있으면, 아무리 시간이 흘러도 네가 시대에 뒤처질 일은 없어.
M1911Mod(0)<Speaker>M1911</Speaker>||<BIN>8</BIN>:달링의 사랑이 느껴지는걸, 이걸로 작전 효율이 더욱 상승할 거라구.
M1911Mod(0)<Speaker>M1911</Speaker>||<BIN>8</BIN><黑屏1>:이 운명의 만남을, 새로워진 내가 계속해서 이어 나가겠어~+M1911, 앞으로도 달링의 곁에 있어 줄게!
