()||<BIN>8</BIN><BGM>BGM_Sunshine</BGM>:......+그리폰 작전실.
FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN>:작전 계획은 다음과 같아. 임무 목표는 동일하게 철혈 거점 내부의 중요 화물을 회수하는 거야.+이번 핵심 구역을 공격하는 임무는 M1918의 소대에 맡기도록 할게.+나머지 부대는 작전 중 엄호와 양동에 전력을 다하도록 해.
SuperSASS(0)<Speaker>SuperSASS</Speaker>||<BIN>8</BIN>:네? 저희가요!?
FAL(0)<Speaker>FAL</Speaker>||<BIN>8</BIN><黑屏1>:또한, 이번 임무는 M1918 씨가 더 자세히 파악하고 있을 테니, 이러는 편이 효율이 높아.+지금부터 이번 작전의 지휘를 M1918 씨에게 위임하도록 하겠어. 그럼 다들 해산.
xm3(0)<Speaker>XM3</Speaker>||<BIN>8</BIN><黑屏2>:주력 부대가 된 것뿐만 아니라, 이번 임무의 총 책임이 되었잖아.+대장, 너무 귀찮지 않겠어?
xm3(0);M1918Mod(0)<Speaker>M1918</Speaker>||<BIN>8</BIN>:이 정도라면...... 확실히 연산에는 부담이 있겠지만......+적어도 이번엔 내가 너희의 대장을 맡고 있는 만큼, 저번 같은 일은 일어나지 않을 거야.
xm3(0)<Speaker>XM3</Speaker>;M1918Mod(0)||<BIN>8</BIN>:저번에 그건 철혈이 참 성가신 곳에 방어를 친 게 문제였고, 명령도 FAL이 내린 거니 어쩔 수 없었지.+이번엔...... 오히려 아무 문제 없을 거라고 생각해.
xm3(0);M1918Mod(0)<Speaker>M1918</Speaker>||<黑屏1><BIN>8</BIN>:괜찮아...... 무슨 일이 있어도......+너희의 안전은 내가 책임질 테니까.+적당적당히 싸우던 나날에도 이제는 종지부를 찍을 때가 왔어.
FN57(0)<Speaker>FN-57</Speaker>||<BIN>97</BIN><黑屏2>:흐응, 보아하니 M1918 씨의 개조는 순조로운 모양이네. 설마 정말 기술적으로 호환될 거라곤 생각 못 했는데.
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>97</BIN>:무슨 소리를 하는 거야, FN의 기술력인데 당연하잖아.+우리가 해내지 못할 것은 없어.
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>97</BIN>:그보다, M1918 씨의 업그레이드에 쓰인 기존 기술들......+SCAR가 알기라도 하면, 화내지 않을까?
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>97</BIN>:별로 개의치 않을 거야, 오히려 흡족해하겠지.
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>97</BIN>:뭐 결국 걔를 더 잘 이해하는 건 너일 테니까.+하지만 이번 업그레이드 계획으로 M1918의 각인은 우리와 가까워졌어.+앞으로 FN 소대의 증원으로 데려올 때도 편해지겠지.
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>97</BIN>:아직도 그런 속셈을 품고 있었구나......+과연, FN-57인걸.
FAL(0);FN57(0)<Speaker>FN-57</Speaker>||<BIN>97</BIN>:뭐가 어때서 그래!+우리 FN의 인맥 망이 넓어지면 그것도 좋은 일이잖아?
FAL(0)<Speaker>FAL</Speaker>;FN57(0)||<BIN>97</BIN>:그걸 인맥 망이라고 하던가... 그물망이라는 표현이 더 맞지 않을까.
FN57(0)<Speaker>FN-57</Speaker>||<BIN>97</BIN><黑屏1>:M1918 씨는 이제 그 좁은 방구석을 벗어났어, FAL.+이젠 내가 널 뛰어넘을까 신경 쓰는 것 외에도, 대선배님께 뒤처지지 않도록 조심해야 할 거야.
