()||<BGM>BGM_Room</BGM><BIN>73</BIN>:그리폰 훈련장.
()||:브렌 혼자서 사격훈련을 하고 있었다.
BrenMK(0)<Speaker>브렌</Speaker>||:오늘도 변화 없군.+탄창 교체 속도도 이미 최고 수준으로 단축했는데도...+더 생각해보자, 더 이상 제자리 걸음을 해선 안 돼... 그 녀석들처럼 있을 순 없어.
Welrod(0)<Speaker>웰로드</Speaker>||:좋은 밤이군, 브렌.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:... 웰로드 대장, 무슨 용건이지?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:당연히 널 찾으러 왔다.+여기서 온종일 있었지?+아무리 무쇠 같은 병사라 할 지어도, 저녁 식사 시간에는 에너지를 보충해야 한다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:그냥 같이 밥 먹자고 초대하고 온 거라면, 사양하지.+지금 식욕이 없어.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:가능하면 좀 더 편안한 분위기에서 얘기하고 싶었지만... 식욕이 없다면 여기서 말하지.+L85A1과 IDW가 널 걱정하고 있다, 브렌.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:... 어, 그래서?+나보고 돌아가서 웃으며 "괜찮아, 문제없어"라고 말하라고?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:아니, 너도 분명 그러고 싶지 않겠지.+난 네가 화났던 이유를 알고 싶다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:그게 웰로드와 무슨 상관인데?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:그야 난 대장이기 때문이다.+소대원이 가진 문제를 파악하고 그 먹구름을 털어낼 수 있도록 하는 것이 대장으로서 마땅히 해야할 일이다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:... 그저 그것 때문에?
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:자신의 의무를 다하는 것도 정의의 일부다.+너의 의견을 듣고 문제를 해결할 방법을 같이 궁리할 테다.+그러니, 불만이든 의혹이든 마음껏 말하도록, 브렌.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:좋아, 그럼 난 빠지겠어.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:빠지겠다고? 다과회에서 빠지겠다는 건가?+그렇다면 L85A1과 IDW에게 직접 말하면 될 것을 왜 화를 냈던 것이지?
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:다과회만 빠지겠다는 것이 아니야, 웰로드.+난 이 소대에서 빠지고 싶어.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:뭐라고?!+... 어째서냐?
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:이 소대는 내게 안 맞아.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:... 왜 그렇게 생각하는지 말해줄 수 있겠나?
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:힘을 키울 생각도 없이 시시한 다과회에 시간을 낭비나 하지.+이렇게 나른해 빠진 소대에서 더 이상 강해질 수는 없어.
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:합리적인 휴식을 취하는 것도 정의의 사자가 되기위한 중요한 요소라고 본다.+그리고 강해지기 위해서 꼭 한 가지 방법만 있는 건...
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:웰로드, 그 지루한 설교도 그만둬.+난 나의 방식대로 하겠어.
Welrod(0)<Speaker>웰로드</Speaker>||:...+좋다, 브렌.+이미 그렇게 결정을 내렸다면... 행운을 빌겠다.
()||:웰로드는 뒤돌아 떠났다.
BrenMK(0)<Speaker>브렌</Speaker>||<黑屏1>:설마 말리지도 않을 줄이야...+흥, 엘리트 인형도 고작 이 정도라는 거군.
()||<BIN>82</BIN><BGM>BGM_Empty</BGM><黑屏2>:며칠 뒤.
IDW(0)<Speaker>IDW</Speaker>||<BGM>BGM_Wake</BGM>:브렌... 정말로 가는 거냥?+녀가 없으면 쓸쓸해질 거다냥...
BrenMK(0)<Speaker>브렌</Speaker>;IDW(0)||:난 홀가분한 걸.+이제 더는 시시때때로 나팔 소리를 들을 필요가 없으니까.
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:저기, 브렌... 정말로 다시 생각해 보지 않을래요?+그렇게 오랫동안 같이 파트너로 지냈는데.
BrenMK(0)<Speaker>브렌</Speaker>;L85A1(0)||:난 이미 결심했어, L85A1.+넌 안심하고 여기서 다과회를 즐기면 돼, 어쩌면 나중에 지휘관이 다과회를 좋아하는 소대원을 끼워줄지도 모르니까.
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:브렌... 그럼 이제 어떻게 할 건가요?
BrenMK(0)<Speaker>브렌</Speaker>||:당연히 저 최전방의 엘리트 소대에 들어갈 거야.+앞으로 더 강해져서... 모든 이들에게 나의 이름을 알리겠어.+그럼, 간다.
()||:브렌은 짐을 들고서 고개도 돌리지 않고 떠났다.
L85A1(0)<Speaker>L85A1</Speaker>||:웰로드... 정말로 이대로 괜찮나요?
Welrod(0)<Speaker>웰로드</Speaker>||<黑屏1>:이것이 최선이다.+잠시 우리와는 다른 방향의 길을 걸을 뿐이니...+그래도 언젠가는 두 길은 다시 만날 것으로 생각한다.+그때가 되면 우리 모두 진정한 "강함"이 무엇인지 깨달을 테지.
