()||<BIN>88</BIN><BGM>BGM_Sad</BGM>:어느 폐기된 창고.
BrenMK(1)<Speaker>브렌</Speaker>||:제길... 이런 곳에 발을 묶이다니...
BrenMK(1)<Speaker></Speaker>||:브렌은 창고 문 뒤에 기대여 낡은 문짝의 틈 사이로 바깥을 보았다.+얼마 멀지 않게 철혈이 점점 다가오고 있었다.
BrenMK(1)<Speaker>브렌</Speaker>||<黑屏1>0,3</黑屏1>:조금 전에 전진 속도가 더 빨랐다면 여기까지 몰릴 일도 없었을 텐데...+새로운 소대에 온 이상 나도 분명 더 강해졌을 텐데!
()||<BIN>9</BIN><黑屏1>0.3</黑屏1>:... 정말 그럴까?
()||:엘리트 인형들로 편성된 소대에서 모두의 발걸음을 맞추는 것만으로도 숨이 가빴지.+일시적인 현상이라고 생각했지만... 이제와서 더는 자기 합리화로 통하지 않아.
BrenMK(1)<Speaker>브렌</Speaker><Shake>1.5</Shake>||:제길, 망할!+어째서 더 강해질 수 없는 거지! 도대체 왜!!!
()||<黑屏1>0.3</黑屏1>:... 사실 다 알고 있으면서.
()||:어떻게 해도 엘리트 인형처럼 강해질 수는 없어.+어떻게 노력해도 한계를 넘을 수가 없어.+결국 여기서 끝인 걸까?
BrenMK(1)<Speaker>브렌</Speaker>||<黑屏1>0,0.3</黑屏1>:평생 그들의 뒷모습만 바라봐야는 거냐...+절대 그럴 수는 없어!+하지만... 대체 어떻게 하면 좋은 거야?
()||<BIN>88</BIN><黑屏2>0,0.5</黑屏2>:브렌은 다시 일어서 자신의 기관총을 쥐었다.
BrenMK(0)<Speaker>브렌</Speaker>||:... 여기서 꼴사납게 죽을 수는 없어.+다시 만난다면 한 번 직접 답을 물어보지.+웰로드...
()||<SE1>Gunfight</SE1>:창고 밖에서 총소리가 울렸다.
BrenMK(0)<Speaker>브렌</Speaker>||<白屏1>0,2</白屏1>:뭐지?!
Welrod(0)<Speaker>웰로드</Speaker>||<白屏2>0,0.5</白屏2><BIN>89</BIN>:브렌!+무사한가?
BrenMK(0)<Speaker>브렌</Speaker>||:웰로드?!+어째서 여기에 있는 거야!
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:마침 우리 소대가 근처에서 임무를 진행 중이었다가 지휘관께서 지원으로 보냈다.+보아하니 내 정의의 철퇴가 늦지 않은 모양이군. 잔말은 나중에 하고, 눈앞의 상황을 정리한다.
BrenMK(0)<Speaker>브렌</Speaker>;Welrod(0)||:... 또 괜한 참견을.+너희 없이도 나 혼자 뚫고 나갈 수 있었어...
BrenMK(0);Welrod(0)<Speaker>웰로드</Speaker>||:알고 있다.+그래도 지금은 나와 힘을 합쳐 저 악의 철혈무리에게 정의의 심판을 내리자!
BrenMK(0)<Speaker>브렌</Speaker>||<黑屏1>:... 가자, 웰로드.
()||<BIN>9</BIN><黑屏1><SE1>Gunfight</SE1><BGM>BGM_Empty</BGM>:...+전투 종료.
()||<BGM>BGM_Wake</BGM><黑屏2><BIN>2</BIN>:그리폰 소대 임시 합류 지점.
L85A1(0)<Speaker>L85A1</Speaker>||:흑흑... 무사해서 다행이에요! 브렌!+여기에 고립됐다고 들어서 걱정했어요!
BrenMK(0)<Speaker>브렌</Speaker>;L85A1(0)||:... 별 거 아냐.+또 한 놈은 어디 갔어?
BrenMK(0);L85A1(0)<Speaker>L85A1</Speaker>||:IDW 말인가요?+지금 임시 수복을 받으러 갔으니 곧 합류하러 올 거예요!
