L85A1(0)<Speaker>L85A1</Speaker>||<黑屏2><BGM>BGM_Sunshine</BGM><BIN>82</BIN>:음...... 오늘의 홍차 맛도 역시 최고네요.+홍차와 디저트로 보내는 따스한 오후는 정말이지......
IDWMod(0)<Speaker>IDW</Speaker>;L85A1(0)||<BIN>82</BIN><震屏>:짜잔──!!+업그레이드된 IDW, 지금 여기 등장이다아냐앙!
IDWMod(0);L85A1(0)<Speaker>L85A1</Speaker>||<BIN>82</BIN>:우아앗! ......깜짝이야, 홍차 엎지를 뻔했네. +IDW?! 정말로 IDW인가요?
IDWMod(0)<Speaker>IDW</Speaker>;L85A1(0)||<BIN>82</BIN>:L85A1, 이것 좀 보라냥+냐가 입은 이 장비 어때?
IDWMod(0);L85A1(0)<Speaker>L85A1</Speaker>||<BIN>82</BIN>:멋있어 보이기는 하는데, 어디서 가지고 온 거죠?
IDWMod(0)<Speaker>IDW</Speaker>;L85A1(0)||<BIN>82</BIN>:냐는 강해지기 위해서 무지하게 노력을 했다냥+그래서 소대장님한테 가서 어떤 부분을 강화해야 될 것 같냐고 물어본 뒤,+카리나 씨한테 가서 개조를 부탁했다냥......
IDWMod(0)<Speaker>IDW</Speaker>;L85A1(0)||<BIN>82</BIN>:비록 몇 개월분의 급료를 투자했지만, 확실히 강해진 느낌이 든다냥!+예전보다 더 전문 보디가드같지 않냥?
IDWMod(0);L85A1(0)<Speaker>L85A1</Speaker>||<BIN>82</BIN>:IDW는 원래부터 전문 보디가드잖아요?+그래도 확실히 전보다 훨씬 더 믿음직스러워 보이네요.
IDWMod(0)<Speaker>IDW</Speaker>;L85A1(0)||<BIN>82</BIN>:냐핫, 냐는 지금 당장 임무에 나가고 싶다냥!......+어서 냐가 얼마나 달라졌는지 보여주고 싶다냥!
IDWMod(0);BrenMK(0)<Speaker>브렌</Speaker>||<BIN>82</BIN>:왜 이렇게 시끄럽나 했더니...... 바보 고양이가 돌아왔군.
IDWMod(0)<Speaker>IDW</Speaker>;BrenMK(0)||<BIN>82</BIN>:브렌, 지금의 냐는 예전의 냐와는 천지 차이다냥!
IDWMod(0);BrenMK(0)<Speaker>브렌</Speaker>||<BIN>82</BIN>:고작 그거 하나 믿고 설치다가 또 온몸에 바람구멍이 나게 될 게 눈에 선하군.
IDWMod(0)<Speaker>IDW</Speaker>;BrenMK(0)||<BIN>82</BIN>:우후후후, 지금 냐의 새로운 장비를 질투하는 게 분명하다냥!
IDWMod(0);BrenMK(0)<Speaker>브렌</Speaker>||<BIN>82</BIN>:날 질투하게 만들고 싶으면 먼저 그에 걸맞은 전과나 보여주도록 해+지금 당장 이 게으른 자식을 끌고 가서 훈련을 시키고 싶지만......+그래도 이제 막 돌아온 참이니 일단 L85A1이 타준 홍차나 마시라고.
IDWMod(0)<Speaker>IDW</Speaker>||<BIN>82</BIN><黑屏1>:냐가 얼마나 기대하고 있었는데!+우냐앙──! 진짜 엄청 맛있잖아!
IDW()<Speaker>IDW</Speaker>||<BIN>9</BIN><黑屏2>:이렇게 냐는 웰로드 소대에 계속해서 남아 있게 되었다냥......+브렌은 입이 험하고, L85A1은 가끔 멍청하고, 웰로드 소대장은 계속 알아들을 수 없는 말들을 하기는 하지만......+그래도 하루하루가 엄청 즐겁다냥! 돌아갈 곳이 있다는 건, 정말로 엄청난 느낌인 것 같다냥!+그러니 냐도 앞으로 더욱 노력하겠다냥──!
L85A1()<Speaker>L85A1</Speaker>||<黑屏1>:그래서...... "다냥"이란 건 대체 무슨 뜻인 걸까요......
