()||<BIN>9</BIN><BGM>BGM_Empty</BGM><黑屏1>0,10</黑屏1>:
()<Speaker>G36</Speaker>||<BIN>9</BIN><黑屏2>:으음...
()<Speaker>G36</Speaker>||<黑屏1>:이렇게 가만히 있기만 하면 소체의 작동에 문제가 생길 수도 있어. 빨리 상황을 파악해야 해.+그런데, 어두워서 아무것도 보이질 않네... 누가 불을 끈 거지?+우선 수복 캡슐의 덮개부터 열고...
()||<BIN>7</BIN><黑屏2>:G36은 캡슐 덮개의 무게를 생각해 힘껏 밀었지만, 예상보다 훨씬 가벼웠다.
()||:다시 보니, 그건 캡슐의 덮개가 아닌 골판지였다. 힘을 너무 준 탓에, G36은 갇혀 있던 곳에서 튀어나와 눈 위에 엎어지고 말았다.
()<Speaker>G36</Speaker>||:어...? 눈이라니... 이게 대체 어떻게 된 거지?
()<Speaker>G36</Speaker>||:난 분명 기지의 수복 캡슐 안에 있었을 텐데... 어째서...
()||:G36은 눈을 찡그리고 뒤를 돌아봤지만, 여전히 시야가 흐릿했습니다.+그런데 마침, 그녀에게 딱 맞는 안경이 옆에 있는 것 아니겠어요? 그걸 쓰고 나서야 G36은 또렷하게 볼 수 있었어요.
()||:놀랍게도, G36이 나온 곳은 수복 캡슐이 아닌, 눈 속에 파묻힌 선물 상자였습니다.
G36(4)<Speaker>G36</Speaker><Position>0,-100</Position>||<BGM>BGM_Moon</BGM>:으... 머리야...+조금만 연산을 하려 해도 머리가 아프네... 왠지 머리가 나빠지는 것만 같아...
()||:G36은 제자리에서 일어나 그 선물 상자를 멍하니 바라보았지만, 한참이 지나도 아무런 일도 일어나지 않았습니다.
G36(4)<Speaker>G36</Speaker><Position>0,-100</Position>||:가만히 있어서도 안 돼. 어서 기지와 연락을 취할 만한 곳이 있는지 찾아보자.
()<Speaker></Speaker>||<黑屏1>:G36은 자그마한 손을 꼬옥 움켜쥐고 결심하면서, 발걸음을 옮겼습니다.
()<Speaker></Speaker>||<黑屏2><BIN>6</BIN><Night>:G36은 눈 속을 헤쳐나가려 했지만, 짧은 팔다리로는 쉬운 일이 아니었어요. 게다가 날은 점점 저물어 갔고, 매서운 바람 소리까지 맴돌기 시작했답니다.+그리고 어째선지, G36은 자신의 의식과 사고가 점점 무뎌져 가는 것처럼 느껴졌어요.
G36(4)<Speaker>G36</Speaker><Position>0,-100</Position>||:아아... 추워... 그리고 배고파... 응?
G36(4)<Speaker></Speaker><Position>0,-100</Position>||:그 순간, 손에 들고 있던 바구니가 부르르 진동하며 빛을 내뿜었어요.
G36(4)<Speaker></Speaker><Position>0,-100</Position>||<黑屏1>:G36이 조심조심 바구니를 덮은 천을 들춰보니, 안에는 빛나는 지팡이 사탕과 겨울용 옷이 들어있었습니다.
G36(10)<Speaker>G36</Speaker>||<黑屏2>:...사탕으로 열량을 조금 보충할 수 있겠지.+가능하면 제대로 된 먹거리가 있으면 좋을 텐데.
G36(10)<Speaker></Speaker>||<闪屏><duration>5</duration></闪屏>:그 말에 대답하듯, G36이 먹으려고 집어 든 사탕이 번쩍 빛을 뿜었습니다.
G36(10)<Speaker></Speaker>||:G36의 시야가 다시 돌아오자, 어머나! 눈앞에 김이 모락모락 나는 통닭이 나타났어요.
G36(10)<Speaker>G36</Speaker>||<BGM>BGM_Empty</BGM>:이, 이게 어떻게 된 일이지...? 그래도, 먹을 게 생겨서 다행이야.+아, 바구니에 수저도 있네! 다행이다, 빨리 먹고 힘내야지...
FairyShield(0)<Speaker>수호요정</Speaker><Position>0,250</Position>||<BGM>BGM_Hello</BGM>:저기요, 거기 예쁜 언니... 저, 먹을 것 좀 나눠주실 수 있나요...?
G36(10)<Speaker>G36</Speaker>||:어? 요정이 왜 이런 곳이 있는 거죠...?
FairyShield(0)<Speaker>수호요정</Speaker><Position>0,250</Position>||:저도 몰라요... 오늘은 엄청 춥다는 것밖에 모르겠어요...+뭐라도 먹지 않으면, 꼴까닥 죽어버릴 것만 같아요...
G36(10)<Speaker>G36</Speaker>||:그럼, 같이 이 통닭을 먹어요.
FairyShield(0)<Speaker>수호요정</Speaker><Position>0,250</Position>||:와아! 정말 고마워요!
()||:요정은 그 말을 듣자마자, 커다란 통닭을 게 눈 감추듯 꿀꺽 먹어치워 버렸어요.
G36(10)<Speaker>G36</Speaker>||:어, 벌써?!
G36(10)<Speaker>G36</Speaker>||:<color=#A9A9A9>("같이"라고 했는데, 내 몫까지 먹어 버렸어...)</color>
G36(10)<Speaker>G36</Speaker>||:<color=#A9A9A9>(그런데, 요정은 홀로그램 아니었나? 어떻게 저렇게 많이 먹는 거지?)</color>
