()<Speaker></Speaker>||<BIN>82</BIN><BGM>BGM_Empty</BGM>:
()||<BGM>GF_Memorial</BGM>:그리폰 기지, 인형 숙소.
()||:CZ52는 책상 앞에 앉아, 낡은 책을 주의 깊게 읽고 있었다.
CZ52(0)<Speaker>CZ52</Speaker>||:"맑은 연못 한가운데 우뚝 선 백자청정."+"비단옷을 입고, 활처럼 뻗은 옥색 다리를 지나,"+"정자에서 친우와 함께, 술을 즐기며 시와 노래를 나누었네."
CZ52(0)<Speaker>CZ52</Speaker>||:그림 같은 풍경 속에서 친구들과 함께 술을 마시며 시를 쓰는 모습인 건가?+정말 아름다운 경치다...
()||:CZ52는 시집을 읽으며, 글이 묘사하는 풍경을 머릿속에 그려보았다.+너무 푹 빠진 나머지 누군가가 문을 두드리는 소리도 못 들을 정도였다.
？？？()||:CZ52 씨, 안에 계세요?
CZ52(0)<Speaker>CZ52</Speaker>||:"수면에 비친 비췻빛 다리, 마치 초승달과 같으니." ...나도 이런 풍경을 직접 보고 싶다.+그런데, 중간중간 무슨 뜻인지 모르겠는 부분이 있네. 시간 날 때 95식 씨한테 물어볼까...
？？？()||:아, 안 잠겨있네.+저, 저기... 실례할게요?
()||:달칵.+문이 열리는 소리에, CZ52는 화들짝 놀라 뒤를 돌아보았다.
CZ52(0)<Speaker>CZ52</Speaker>||<BGM>BGM_Empty</BGM>:누구세요?!
？？？()||<BGM>BGM_Hello</BGM>:꺄악!
Type88(0)<Speaker></Speaker><Position>1000,0</Position><Shake>||:들어온 인형도 화들짝 놀라, 문 바로 옆의 사물함 뒤에 숨었다.+하지만 사물함 너머로, 길쭉한 귀 한 쌍이 바들바들 떨리는 게 보였다.
CZ52(0)<Speaker>CZ52</Speaker>||:아, 죄송해요. 놀라셨나요?
Type88(0)<Speaker></Speaker><Position>1000,0</Position>||:사물함 뒤의 귀가 떠는 것을 멈췄다.
()||:그리고 그 귀의 주인이 모습을 드러냈다.
Type88(0)<Speaker>88식</Speaker>||:아, 안녕하세요... 이번 설날 행사를 담당하게 된 88식이에요...+방금 CZ52 씨가 노크 소리를 못 들으셨나 해서, 멋대로 들어왔어요... 죄송합니다...
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:괜찮아요, 제가 책에 너무 몰두한 탓이에요.+그런데, 설 행사 담당이시라고요? 그 동양의 음력 신년맞이 명절 말인가요?
CZ52(0);Type88(0)<Speaker>88식</Speaker>||:네, 올해는 제가 맡게 됐어요...+그리고, CZ52 씨도 도와주셨으면 해서 찾아왔어요...
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:정말요? 그럼 전 무엇을 하면 될까요?
CZ52(0);Type88(0)<Speaker>88식</Speaker>||:어, 도와주시는 건가요?
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:네, 저도 설날이란 명절에 관심이 있거든요.+초롱불을 켜고 잔칫상을 푸짐하게 차리는 날이죠? 맞다, 작년에 그 창문이나 벽이 붙인 장식품도 봤어요. 그거라면 저도 만들 수 있어요!
CZ52(0);Type88(0)<Speaker>88식</Speaker>||:어... 그건 이미 따로 담당자가 있어요...+CZ52 씨는 설날 인사 행렬에 참여해주셨으면 해서 온 거예요...
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:"설날 인사"요? 굳이 사람을 모아서 해야 하는 건가요?
CZ52(0);Type88(0)<Speaker>88식</Speaker>||:그게 설날 풍습이거든요...
()||:88식이 CZ52에게 설날의 풍습에 대해 설명해주었다.
CZ52(0)<Speaker>CZ52</Speaker>||:아하... 그렇군요. 집마다 방문해서 새해의 축복을 전해준다는 거군요?
CZ52(0);Type88(0)<Speaker>88식</Speaker>||:네, 대충 그런 거예요.+참가해 주실 건가요?
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:물론이죠.
CZ52(0);Type88(0)<Speaker>88식</Speaker>||:다행이다... 거절당할까 봐 걱정했어요...
CZ52(0)<Speaker>CZ52</Speaker>;Type88(0)||:왜 제가 거절할 것 같았는데요?
Type88(0)<Speaker>88식</Speaker>||<黑点1>:그게, 엄청 오래된 풍습이기도 하고...+그리고... 으음, 말로 설명하긴 어렵네요. 직접 보면 아실 거예요.
()||<黑点2>:......+88식은 자세한 행사 내용을 전달한 뒤 떠났다.+CZ52는 책상 앞으로 돌아와, 낡은 책을 다시 집어 들었다.
CZ52(0)<Speaker>CZ52</Speaker>||:"지저귀는 새들아, 봄이 왔느냐? 모든 것이 꿈만 같구나."+......+동양의 신년맞이 행사라, 분명 즐겁겠지?+동쪽으로 여행을 갈 순 없어도, 현지의 문화를 되도록 많이 체험해보는 것도 좋은 경험일 거야.
CZ52(0)<Speaker></Speaker>||:CZ52는 책을 덮고는 고개를 끄덕였다.
CZ52(0)<Speaker>CZ52</Speaker>||<黑屏1>:모처럼 이런 행사에 참여하는 거니까, 최선을 다해서 준비하자.
()||<BGM>BGM_Empty</BGM><黑屏2>:며칠 후.
()||<BGM>GF_Memorial</BGM>:CZ52는 새 옷으로 차려입고, 거울 앞에서 자신의 모습을 살펴보았다.
CZ52(2)<Speaker>CZ52</Speaker>||<黑点1>:동양에는 새해를 맞아 새 옷을 입는 풍습이 있다 했지?+되도록 동양풍으로 만들긴 했는데, 다른 사람들이랑 비교해서 너무 어색하면 어떡하지...+아무튼, 곧 약속한 집합 시간이니 서둘러야겠다.
()||<黑点2><BIN>18</BIN>:CZ52는 숙소에서 나와, 설 인사 행렬에 참여하는 인형들이 있는 곳으로 왔다.
CZ52(2)<Speaker>CZ52</Speaker>||:우와, 사람이 엄청 많네...
Type88(2)<Speaker>88식</Speaker>||:아, CZ52 씨. 오셨군요.
CZ52(2)<Speaker>CZ52</Speaker>||:여기 있는 사람들 전부 설 인사에 참여하는 건가요?
Type88(2)<Speaker>88식</Speaker>||:네, 그리고 아직 몇 명이 안 왔어요...
M99(4)<Speaker>M99</Speaker>||:88식 씨, 이제 슬슬 출발할 시간이에요.+아직 안 온 인형들한테 연락을 해봤는데, 사정이 있어서 나중에 올 거래요.
Type88(2)<Speaker>88식</Speaker>||<黑点1>:네, 그럼 모두 출발합시다...
()||<黑点1><BIN>9</BIN>:인형들은 으리으리한 행렬을 이루고 숙소 구역을 향해 행진했다.
()||<黑点2><BIN>82</BIN><BGM>BGM_Empty</BGM>:인형 숙소 구역.
56-1type(4)<Speaker>56-1식</Speaker>||<BGM>BGM_Hello</BGM>:인사 돌리러 왔습니다! 새해 복 많이 받으세요!!+모두 즐거운 설날 되시고, 일이 잘 풀리길 바라요!!
59type(2)<Speaker>59식</Speaker>||:새해 축하해! 자자, 모두 와서 사탕 먹어!
ART556(2)<Speaker>ART556</Speaker>||:저기, 사탕 말고 다른 간식은 없어? 설날엔 먹을 게 많잖아!+아 맞다, 새해 복 많이 받아!
CZ52(2)<Speaker>CZ52</Speaker>||:왜 이렇게 다들 시끄러운 거죠?
M99(4)<Speaker>M99</Speaker>||:설날은 원래 이렇게 시끌벅적한 거예요.+어라? 왜 아직도 밖에 계세요?+저기, 앞에 있는 분들! 길 좀 비켜 주세요!
CZ52(2)<Speaker>CZ52</Speaker>||:......
59type(2)<Speaker>59식</Speaker>||:CZ52도 세배해야지! 자자, 어서 모두에게 큰절 한번 올려!
CZ52(2)<Speaker>CZ52</Speaker>||:...새해 복 많이 받으세요.
Type88(2)<Speaker>88식</Speaker>||:저기... CZ52 씨, 왜 아직도 밖에 서 계세요...?+안의 사람들한테 공간을 좀 내어 달라고 할게요...
CZ52(2)<Speaker>CZ52</Speaker>||:아뇨, 괜찮아요. 안은 지금 꽉 찬 것 같으니 전 여기에 앉아있을게요.
Type88(2)<Speaker>88식</Speaker>||<黑点1>:네에...
()||<黑点2><BIN>18</BIN>:......+............+인사 돌리기 행사는 계속되었다. 인형들은 들리는 숙소마다 우르르 들어갔다가, 다시 우르르 몰려나왔다.+그렇게 서너 곳을 방문했을 무렵, CZ52가 88식을 불러 세웠다.
CZ52(2)<Speaker>CZ52</Speaker>||:88식 씨, 저 조금 피곤해요...
