()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:......
()<Speaker></Speaker>||<睁眼><BGM>BGM_Room</BGM><BIN>22</BIN>:수복실.
QBU88(0)<Speaker>QBU88</Speaker>||:여긴... 수복실?+내가 왜 여기에... 아.+맞다, M200이랑 같이 전투 지역을 탐색하다, 기갑 유닛이 튀어나와서...
QBU88(0)<Speaker></Speaker>||<黑屏1>:마인드맵이 다시 빠르게 가동하면서, QBU-88의 머릿속에 복귀 전까지 있었던 일이 떠올랐다.
QBU88(0)<Speaker>QBU88</Speaker>||<黑屏2><BIN>98</BIN><回忆>:구, 구해 줘 M200!!
QBU88(0);M200(0)<Speaker>M200</Speaker>||:큰일이다...!
QBU88(0);M200(0)<Speaker></Speaker>||:놀란 M200은 카메라를 던지다시피 놓고 총을 쐈다.+하지만 성급한 공격은 외피에 흠집만 내고 실질적인 피해를 주지 못했다.
QBU88(0);M200(0)<Speaker>M200</Speaker>||:안 되겠어, 이건 나 혼자선 감당 못해...+그로자 씨! 여기는 M200, 응답 바랍니다!+3번 전투 지역에서 다수의 폐기 기갑 유닛들과 조우했어요. 일부는 화기 시스템이 살아있는 데다, QBU-88이 사로잡혔어요.+좌표는 지금 전송했습니다... 최대한 빨리 와 주세요! 부탁드려요!
QBU88(0)<Speaker>QBU88</Speaker>;M200(0)||:크윽... 으아아아악!
QBU88(0);M200(0)<Speaker>M200</Speaker>||:안 돼... 녀석이 저렇게 계속 경계 상태면 QBU를 더 세게 쥘 거야...
QBU88(0)<Speaker>QBU88</Speaker>;M200(0)||:이, 이 녀석 움직인다...? 야! 너 날 어디로 끌고 가려는 거야!? 살려 줘 M200!
QBU88(0);M200(1)<Speaker>M200</Speaker>||:다시 관절을 노려서... 젠장, 총알이 바닥났어...!+정말 달리 방도가 없는 걸까...
QBU88(0);M200(1)<Speaker>그로자의 목소리</Speaker>||:M200! 눈 감아!
QBU88(0)<Speaker>QBU88</Speaker>;M200(1)||<白屏1>:어?
QBU88(0)<Speaker>QBU88</Speaker>||<白屏2><BGM>BGM_Empty</BGM><关闭蒙版><BIN>22</BIN>:그리고 눈앞이 번쩍한 뒤에 바로 기절한 것 같은데...
QBU88(0)<Speaker></Speaker>||<SE1>AVG_tele_connect</SE1>:<color=#00CCFF>새로운 메일이 있습니다.</color>
QBU88(0)<Speaker>QBU88</Speaker>||:메일? 임무인가? 어디 어디...+연회용 드레스를 만들어 달라... 흠흠...
