()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:
()<Speaker>RO635</Speaker>||<BIN>138</BIN><黑屏2><BGM>BGM_Sunshine</BGM>:……
()<Speaker></Speaker>||:离开宿舍后，RO和M4一起来到了举办宴会的现场。
M4A1Mod(0)<Speaker>M4A1</Speaker>||:哇！会场好漂亮！
M4A1Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:确实，气氛十足呢。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635Mod(0)||:SOP2要是一起跟过来就好了，待会儿不知道她还能不能找到我们。
M4A1Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:谁让她慢吞吞的，不过现在应该也已经换好衣服准备过来了吧，说不定她在路上还会碰到AR15呢。+话又说回来，这里有那么多好吃的甜点，要是被她看到了，恐怕会被吃个精光吧。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635Mod(0)||:啊哈哈，毕竟是难得举办一次的宴会，所以才准备的那么丰盛……+对了，RO接下来有什么打算吗？
M4A1Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:我吗？+嗯……没想到指挥官会批准我们举办一场宴会，既然是宴会，我打算把工作什么的都放下，好好享受一番。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635Mod(0)||:那太好了，刚好我也有感兴趣的活动想参加，到时候我们……
M4A1Mod(0)<Speaker></Speaker>;RO635Mod(0)||<SE1>AVG_tele_connect</SE1>:通讯器的声音忽然响起。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635Mod(0)||:啊，指挥官找我了。
M4A1Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:指挥官？
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635Mod(0)||:嗯，你还记得我给大家订购了很多好东西吧。
M4A1Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:好东西……噢，就是你上次说的那些……
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635Mod(0)||:是的，我买了酒，还有很多好吃的，都是指挥官给的预算。+现在应该是到货了，我得亲自去汇报才行。
M4A1Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:原来如此。
M4A1Mod(0)<Speaker>M4A1</Speaker>;RO635Mod(0)||:那之后我们在舞台碰面吧，我想参加的活动就在那里进行，一定要等我哦！
M4A1Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:嗯，拜拜！
RO635Mod(0)<Speaker>RO635</Speaker>||:……好了，接下来……+虽说是打算享受一下，但做点什么才算是享受呢？
RO635Mod(0)<Speaker></Speaker>||<黑屏1>:……+RO轻轻拿起了餐桌上的一份点心。
()<Speaker>RO635</Speaker>||<BIN>9</BIN><黑屏2><BGM>BGM_Empty</BGM>:毕竟是……十分重要的宴会呢。+……
AR15Mod(0)<Speaker>AR15</Speaker>||<BGM>BGM_Hello</BGM>:这次宴会当然十分重要！+我很期待这一天，想让它成为我们珍贵的回忆。
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:……是吗？ 
AR15Mod(0)<Speaker>AR15</Speaker>;RO635Mod(0)||:但现在对宴会的布置还远远不够！+这和我期待的那种，能用“灯火璀璨”或者“光彩缤纷”来形容的场面差太远了。+毕竟这是一次难得的机会，随便敷衍是最不能容忍的事情，所以我们至少要把更多的预算放在布景上。
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:嗯……（敲钉子）+是吗？
AR15Mod(0)<Speaker>AR15</Speaker>;RO635Mod(0)||:本来我是这么打算的，但是……
AR15Mod(0)<Speaker></Speaker>;RO635Mod(0)||<BIN>137</BIN>:AR15看了看此时身穿安全绑带，几乎是挂在舞台顶层支架上细心操作的RO。
AR15Mod(0)<Speaker>AR15</Speaker>;RO635Mod(0)||:你在干什么？
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:我？
AR15Mod(0);RO635Mod(0)<Speaker></Speaker>||:RO看了看自己手里的锤子和扳手。
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:安装舞台灯？
AR15Mod(0)<Speaker>AR15</Speaker>;RO635Mod(0)||:这难道不是专门负责的人形来做的工作吗！？
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:啊哈哈，抱歉，看到大家都在忙，就忍不住想帮把手……
AR15Mod(0);RO635Mod(0)<Speaker></Speaker>||:仔细确认好舞台灯安装无误之后，RO熟练地从支架上下来，并脱掉了安全带。
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:完成了！+对了，灯光记得要测试一下……
AR15Mod(0);RO635Mod(0)<Speaker>负责灯光的人形</Speaker><同时置暗>||:已经在测试了，效果很棒！+真是辛苦了，RO小姐，看到你来帮忙之后，大家都很有干劲呢！
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:毕竟是难得举办一次的宴会，希望大家都能保持住这份干劲，那么，回头见~！
AR15Mod(0)<Speaker>AR15</Speaker>;RO635Mod(0)||:难得举办一次的宴会吗？
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:15，抱歉久等了，你刚才想跟我说什么？
AR15Mod(2)<Speaker>AR15</Speaker>;RO635Mod(0)||:本来想找你谈谈宴会布景的事。+不过还是算了，如果告诉你的话，恐怕又要亲自上阵了吧。
AR15Mod(2);RO635Mod(0)<Speaker>RO635</Speaker>||:如果我能帮上忙的话。
AR15Mod(2)<Speaker>AR15</Speaker>;RO635Mod(0)||:不，我反而希望你不要再插手这种琐碎的事情了。
AR15Mod(2);RO635Mod(0)<Speaker>RO635</Speaker>||:哎？
AR15Mod(4)<Speaker>AR15</Speaker>;RO635Mod(0)||:我听M4说，你打算趁这次宴会的机会，卸下工作的压力好好享受一下的。+不过，现在看起来完全没有那么做呢。
AR15Mod(4);RO635Mod(0)<Speaker>RO635</Speaker>||:啊，还真的是！
AR15Mod(5)<Speaker>AR15</Speaker>;RO635Mod(0)||:现在才发现吗！？
AR15Mod(5);RO635Mod(0)<Speaker>RO635</Speaker>||:抱歉，一旦忙起来就没时间考虑别的了。+不过，现在这样也很有成就感啊，既能帮到大家，又能快一点完成宴会的准备工作。
AR15Mod(4)<Speaker>AR15</Speaker>;RO635Mod(0)||:但这并不需要你亲自动手，宴会的筹备工作很充分，每一个环节都有专门负责的人形，而你……+要知道，之所以没有给你安排任何工作，就是因为大家都希望你能趁这次宴会的举办好好休息一下的！
AR15Mod(4);RO635Mod(0)<Speaker>RO635</Speaker>||:唔，抱歉……
AR15Mod(0)<Speaker>AR15</Speaker>;RO635Mod(0)||:我没有责怪你的意思。
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:不，谢谢你，15，我的确应该享受这次宴会的。+好！接下来我要尽情地享受一下……
AR15Mod(0);RO635Mod(0)<Speaker>负责舞台的人形</Speaker><同时置暗>||:RO，刚好你在这里，关于舞美的设计问题……
AR15Mod(0);RO635Mod(0)<Speaker>RO635</Speaker>||:啊，来了来了。+……呃！？
AR15Mod(4);RO635Mod(0)<Speaker></Speaker><Shake>||<BGM>BGM_Empty</BGM>:面对眼前需要的帮助，RO欣然前往的时候，肩膀上突然传来了巨大的力量——+转回头看，紧抓着自己肩膀的AR15正在用一种可怕的目光看着自己。
AR15Mod(4);RO635Mod(2)<Speaker>RO635</Speaker>||<BGM>BGM_Danger</BGM>:……1、15？
AR15Mod(4)<Speaker>AR15</Speaker>;RO635Mod(2)||:你，给我过来。
RO635Mod(2)<Speaker>RO635</Speaker>||<黑屏1>:哎，等等……哇！
()<Speaker></Speaker>||<BIN>9</BIN><黑屏2><SE1>AVG_Door_Hit</SE1>:AR15并没有回答RO的疑惑，RO几乎是被她硬拖着来到了舞台后面的更衣室。
()<Speaker>RO635</Speaker>||<BGM>BGM_Empty</BGM>:咦！？15，等……快，快住手！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:……
()<Speaker>AR15</Speaker>||:好了，不要乱动！
()<Speaker></Speaker>||<SE1>ClothingUp</SE1>:……
()<Speaker></Speaker>||<黑屏1>:……
AR15(3)<Speaker>AR15</Speaker>||<BIN>82</BIN><黑屏2>:好了，可以出来了。
RO635(7)<Speaker>RO635</Speaker>||<黑屏1>:……
()<Speaker></Speaker>||<BIN>138</BIN><黑屏2><BGM>BGM_Moon</BGM>:离开更衣室来到台前，RO已完全换上了新装。+精美的剪裁和光鲜的色彩搭配，让准备舞台的人形们也忍不住想多看几眼。
RO635(7)<Speaker>RO635</Speaker>||:为、为什么……？
AR15(3)<Speaker>AR15</Speaker>;RO635(7)||:为什么……你是说礼服吗？+我在宿舍里发现了它，本来以为是你忘记换上，我就顺便带过来了。+现在看来，给你穿上它倒是免得几分钟后又会在哪个人字梯上看到你。
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:我才不会！
AR15(3)<Speaker>AR15</Speaker>;RO635(7)||:不会吗？
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:……大概……
AR15(3)<Speaker>AR15</Speaker>;RO635(7)||:……+你看起来很漂亮。
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:唔，谢谢……
AR15(3);RO635(7)<Speaker></Speaker>||:匆忙感谢的RO慢慢感到有些不好意思。+紧接着，她的视线中突然闪过一道白光。（拍照声）
RO635(7)<Speaker>RO635</Speaker>||:谁在拍照！？
KSVK(9)<Speaker>KSVK</Speaker>||:啊~抱歉抱歉！+看到RO小姐穿得那么漂亮，就忍不住拍了一张。
KSVK(9)<Speaker></Speaker>||:抱着照相机的KSVK蹦蹦跳跳地来到了舞台上。
KSVK(9)<Speaker>KSVK</Speaker>||:15小姐，我来了~！
AR15(3)<Speaker>AR15</Speaker>;KSVK(9)||:KSVK？+原来你不是在开玩笑。
AR15(3);KSVK(9)<Speaker>KSVK</Speaker>||:那当然，我可是连相机都准备好了！
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:呃……你们在说什么？
AR15(3);KSVK(9)<Speaker>KSVK</Speaker>||:RO小姐还不知道吗？其实我打算邀请大家一起拍照，最后办个摄影会。+最好的时光应该被定格和纪念。
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:是这样吗……？
AR15(3);KSVK(9)<Speaker>KSVK</Speaker>||:的确是这样。
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:唔……好吧。
AR15(3);KSVK(9)<Speaker>KSVK</Speaker>||:那么，RO小姐，请试着转一圈？
AR15(3);RO635(7)<Speaker>RO635</Speaker>||:这、这样……？
RO635(7)<Speaker>RO635</Speaker>||<SE1>AVG_Division_Camera</SE1>:RO在原地轻盈地转了一下。
RO635(7)<Speaker>RO635</Speaker>||<SE1>AVG_Division_Camera</SE1>:（啊，已经开始拍了吗？）
RO635(7)<Speaker>RO635</Speaker>||<SE1>AVG_Division_Camera</SE1>:（不知道照片拍出来的效果怎么样……我的发饰应该没有歪掉吧？）
KSVK(9)<Speaker>KSVK</Speaker>||:好，接下来尝试用这个姿势……
RO635(7)<Speaker>RO635</Speaker>||<SE1>AVG_Division_Camera</SE1>:哎？这样吗，好的……
RO635(7)<Speaker>RO635</Speaker>||<SE1>AVG_Division_Camera</SE1>:……原来不止是拍一张吗？
KSVK(9)<Speaker>KSVK</Speaker>||:RO小姐简直就像平面模特一样啊，我也要一起合影！+15小姐要不要一起？
AR15(3)<Speaker>AR15</Speaker>;KSVK(9)||:现在就拍合影也太早了一点。
AR15(3)<Speaker></Speaker>;KSVK(9)||:虽然这样说着，AR15还是加入了进来。
RO635(7)<Speaker>RO635</Speaker>||<SE1>AVG_Division_Camera</SE1>:（……上次大家像这样聚在一起，好像已经是很久远的事情了吧……）
RO635(7)<Speaker>RO635</Speaker>||<SE1>AVG_Division_Camera</SE1>:（不需要考虑如何赢得战斗，不需要担心会失去什么……）+（我现在需要考虑的，只是简单地做出好看的动作，然后留下美好的回忆。）+（也许，这就是放下所有压力之后的感觉？）
RO635(7)<Speaker>RO635</Speaker>||<SE1>AVG_Division_Camera</SE1>:（有点开心……）
RO635(7)<Speaker>RO635</Speaker>||:啊，KSVK，你的绑带有点松了。
KSVK(9)<Speaker>KSVK</Speaker>||:哎呀，真的……RO小姐，我拿着相机不好弯腰，麻烦你帮我系紧一点可以吗？
RO635(7)<Speaker>RO635</Speaker>||:小事一桩……诶？
RO635(7)<Speaker></Speaker>||:就在拍照的间隙，RO帮KSVK解决一点小难题的过程中，眼角的余光似乎扫到了一个熟悉的身影。
M4A1(5)<Speaker></Speaker>||:似乎是意识到自己被发现了，M4先是一愣，然后便转身匆匆离开了。
RO635(7)<Speaker>RO635</Speaker>||:（M4好像很在意这边的样子，而且那个眼神……）+（啊……！）
RO635(7)<Speaker></Speaker>||:RO想起了刚刚出门的时候，M4好像提起过一个很感兴趣的，想要一起参加的“活动”。
KSVK(9)<Speaker>KSVK</Speaker>||:都准备好了吗？+那么三、二——
RO635(7)<Speaker>RO635</Speaker>||:等一下！
KSVK(9)<Speaker>KSVK</Speaker>||:RO小姐？
AR15(3)<Speaker>AR15</Speaker>;RO635(7)||:怎么了？
()<Speaker>RO635</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:有人需要我去帮忙。
