()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:……
()<Speaker></Speaker>||<黑屏2><BIN>98</BIN><BGM>BGM_Battle</BGM><SE1>AVG_rifle_finalshot_n</SE1>:响彻旷野的枪声落下，余音散去后，战场又恢复了死寂。+M16A1收起枪，看向闪电的方向。+闪电向她做了个完成的动作，M16点了点头。
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<SE1>AVG_amb_wilderness</SE1>:好像拖得有点太久了。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:谁都没想到这个工作居然能拖几天，也没想到居然能跑这么远。
M16A1BOSS(0)<Speaker></Speaker>;OTs14(0)||:M16A1跟着她的目光转头，看向基地的方向。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:还好和指挥官报备过了，但是这时候……这个时间，她们应该已经开始聚会了吧。
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:你很期待这场聚会？
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||:算是吧。大家一起热热闹闹地吃东西，聊天，享受平静……+这不是比拿枪更让人向往吗？
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||<SE1>AVG_tele_connect</SE1>:也是。聚会上要是有酒就好了……走，我们快点回去，说不定能赶上尾巴。+M16A1呼叫总部。任务已完成，我们距离基地过远，申请直升机到达9号战区3机场。
M16A1BOSS(0);NPC-Kalin(0)<Speaker>格琳娜</Speaker><通讯框>||:<color=#00CCFF>收到，请稍等~</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>;NPC-Kalin(0)||:谢啦。
M16A1BOSS(0)<Speaker></Speaker>||<SE1>AVG_tele_disconnect</SE1>:格琳娜轻快的语调让M16A1的神经放松了一些。+战场此刻除了她们已经没有会动的物体，她闭上眼睛，慢慢地调节自己的状态，让自己从战斗的紧绷中一点点解放。
OTs14(0)<Speaker>OTs14</Speaker>||:飞机到了，走吧。
()<Speaker></Speaker>||:在直升机的鸣响声中，她们踏上返程。
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<黑屏1>:<color=#A9A9A9>这个时间聚会大概已经开始了。SOP2也许正被RO拉着防止乱跑，AR15也许正在享受聚会。</color>+<color=#A9A9A9>M4呢，M4会在做什么？</color>+<color=#A9A9A9>她会享受聚会吗？还是……</color>
M16A1BOSS(0)<Speaker>M16A1</Speaker>||<BIN>83</BIN><黑屏2><BGM>BGM_Empty</BGM>:……糟了。
M16A1BOSS(0);OTs14(0)<Speaker>OTs14</Speaker>||<SE1>AVG_footsteps_cave</SE1>:嗯？怎么了？
M16A1BOSS(0)<Speaker>M16A1</Speaker>;OTs14(0)||:我……和M4约好了要一起去聚会，她还说给我准备了惊喜。
