()||<BIN>9</BIN><黑屏1>0,10</黑屏1><BGM>BGM_Empty</BGM>:그리폰 기지의 복도.
()<Speaker></Speaker>||<黑屏2><BIN>97</BIN><BGM>BGM_Hello</BGM>:정기 회의로부터 며칠이 지난 지금, 연회 준비는 활기차게 진행되고 있었다.
Saiga12(0)<Speaker>saiga12</Speaker>||:하아... 그냥 평범하게 모이기만 할 뿐이면 미소녀의 얼굴이 아까운데...
Saiga12(0)<Speaker></Speaker>||:그때, 익숙한 모습이 기지에 나타났다.
Saiga12(0)<Speaker>saiga12</Speaker>||:아, 지휘관! 오랜만이에요!
Saiga12(0)<Speaker>지휘관</Speaker>||:안녕, Saiga. 오는 길이 어째 썰렁하던데, 다들 뭐 바쁜 일이라도 생겼니?
Saiga12(0)<Speaker>saiga12</Speaker>||:아, 지휘관은 아직 모르시겠네요. 저희, 성대한 파티를 열기로 했어요!
Saiga12(0)<Speaker>지휘관</Speaker>||:오, 그래? 휴가라고 내가 너무 무관심했나...+그럼 평소처럼 내가 음료수나 간식거리 준비하면 되지?
Saiga12(0)<Speaker>saiga12</Speaker>||:......+네? "성대한"이라니까요? 이번에는 결코 조촐한 파티가 아니에요.
Saiga12(0)<Speaker>지휘관</Speaker>||:조촐하지 않은 파티...?
Saiga12(0)<Speaker>saiga12</Speaker>||:네! 간만에 찾아온 다시 없을지도 모를 기회에, 모두 무기 들고 밥 먹게 하실 셈이세요?
Saiga12(0)<Speaker>지휘관</Speaker>||:어... 그야 다들 전술인형이기도 하니...
Saiga12(0)<Speaker>saiga12</Speaker>||:무엇보다, 제복이 문제예요! 옷은 신분을 나타내는 상징이라지만, 생각해 보세요.+요리사가 요리할 땐 셰프복을 입는 게 당연하지만, 퇴근하면 집에서 잠옷을 입을 거 아니에요?
Saiga12(0)<Speaker>지휘관</Speaker>||:아하... 말 되네. 파티에 어울리는 옷을 입는다면, 다들 전투로 인한 긴장감을 풀 수 있을지도 모르겠어.+그래, 기왕 파티 여는 거, 모두가 마음놓고 편하게 놀아야겠지?
Saiga12(0)<Speaker>saiga12</Speaker>||:그렇죠! 그리고 가능하면 평소에는 잘 안 입는 옷이 좋겠어요.+생각해 보니... 다들 움직이기 편한 것만 따져서 옷장에 치마가 거의 없단 말이죠.
Saiga12(0)<Speaker>지휘관</Speaker>||:그럼 드레스 코드를 예복으로 정하자. 원단을 주문하고... 자세한 건 M200이랑 QBU-88과 상담해보면 되겠지.
Saiga12(0)<Speaker>saiga12</Speaker>||:와아~ 지휘관 최고!+그런데, 다들 그렇게 예쁜 드레스를 입혀 놓고 파티에서 밥만 먹게 하실 셈이세요?
Saiga12(0)<Speaker>지휘관</Speaker>||:으음... 드레스엔 역시 무도회겠지? 그로자한테 연락해 둬야겠어.
Saiga12(0)<Speaker>saiga12</Speaker>||:역시 지휘관은 세계 최고의 지휘관이에요!
Saiga12(0)<Speaker></Speaker>||:지휘관은 드레스 관련 업무를 배정하기 위해 서둘러 사무실로 향했다.
Saiga12(0)<Speaker>saiga12</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:히히히, 지휘관은 진짜 구슬리기 쉽다니까!+이걸로 우리 기지 미소녀들의 드레스 차림을 볼 수 있게 됐다! 야호! ...음, 다음에는 수영복 파티 열자고 해야지!
()<Speaker></Speaker>||<黑屏2><BIN>73</BIN><BGM>m_avg_casual</BGM>:그리폰 기지의 무용실.+무도회의 소문이 퍼지면서 찾는 인형들이 며칠 새 부쩍 늘었다.
ZasM76(0)<Speaker>ZasM76</Speaker>||:무도회라니 좋은 기회네요, 이번에야말로 반드시 SVD의 코를 납짝하게 만들어 주겠어요!
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:그런 데에서까지 승부욕을 불태워야 되겠어? 모처럼 예쁜 드레스를 입는데, 기념 사진을 많~이 찍는 게 좋지 않을까?
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:사진 같은 걸로 어떻게 결판을 내요? 흥미 없어요.+진정한 전술인형은 춤도 제일이어야 한다고요.
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:졌다 졌어... 계속 곁에 있다간 나까지 압박감에 짓눌릴 것 같아...+방에 가서 미소녀 앨범으로 힐링해야지...
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:그거 또 만들었어요? 이번엔 또 누구한테 주려고요?+이젠 기지 애들 모두가 다 한 권씩 받았을 지경인데.
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:그게 무슨 소리야, 아직 KSVK한테는 못 줬는데. 아 맞아, 저번에 개한테 실례했을지도...
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:대체 무슨 짓을 했길래요?
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:그냥... 평범하게 데이트 초대하고, 앨범을 선물하려 했지.
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:훈련 때는 꾸준히 난이도 바꾸면서, 사람 꼬시는 방법은 여전히 그거뿐이에요?
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:......+자괴감 든다.
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:선심 써서 충고하는데요, 매번 똑같은 패턴으론 마음을 얻을 수 없어요.
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:난 항상 누구에게나 진심인걸!
ZasM76(0)<Speaker>ZasM76</Speaker>;Saiga12(0)||:그럼 왜 선물이 항상 그건데요?
ZasM76(0);Saiga12(0)<Speaker>saiga12</Speaker>||:이 세상에 앨범을 거부할 사람은 없으니까!+미소녀 앨범이라면 더더욱!
ZasM76(0)<Speaker>ZasM76</Speaker>||<黑屏1><BGM>BGM_Empty</BGM>:어휴 진짜... 아 몰라, 언젠가는 당신도 깨닫겠죠.
()<Speaker></Speaker>||<黑屏2><BIN>96</BIN><BGM>GF_20HW_Scene_BPM82_loop</BGM>:밤이 되고, 무도회의 막이 올랐다.+정성 들여 꾸민 익숙한 얼굴들이, 줄줄이 댄스 플로어로 입장했다.
ZasM76(2)<Speaker>ZasM76</Speaker>||:안녕하세요 Saiga, 하얀 드레스가 정말 잘 어울리네요.
ZasM76(2);Saiga12(2)<Speaker>saiga12</Speaker>||:헤헤, 지휘관도 눈치가 참 좋다니까? 아주 작은 더러움도 용납하지 않는 이 순백!+그나저나 M76 너 오늘따라 더 예쁘다~ 괜찮으면 나랑 한 곡 출래?
ZasM76(2)<Speaker>ZasM76</Speaker>;Saiga12(2)||:...싫어요. 전 이기기 위해서 춤에 전념해야 한다고요. 당신이 파트너면 실력 발휘에 지장이 생길 게 뻔해요.
