CameraField|41
CameraAngle|35
CameraHight|3
CameraRect|0,0,1,1
MissionMapMaxScale|1
MissionMapSize|6500,7000
MissionMapOffset|-500,2000
MissionMapAVGSize|5000,5000
MissionMapAVGOffset|0,0
MoveLimitMin|2503,2900
MoveLimitMax|1200,1000
MoveOffset|-0.18,0.15,0,0.15
MissionMapName|Map2
MissionSpotName|MissionSpot
MissionSpotAvgName|MissionSpot
MissionStartName|MissionStart
MissionSelectName|MissionSelect
MissionSelectEffectName|SelectEffect
MissionClockName|MissionClock
MissionPathName|MissionPath|0.03|#FF0000FF
MissionEffectName|
MissionRewardCode|
MissionCampionRewardCode|
SpotDeep|60
SpotNormalColor|#FFFFFFFF
SpotUnOpenColor|#818181FF
SpotDeepColor|#858996B8
PathNormalColor|#FF3709EB
PathDeepColor|#2E2E5817
PathLockColor|#4D4D4DAE
PathUnReachColor|#FF9A097B
MissionSpot|10157|-946,59,-180|

