guide_deployment-10385001,出现了新的任务目标以及新的捞枪路线。
guide_deployment-10801001,本次活动部分关卡无需玩家部署梯队，请使用npc来完成战役。
guide_deployment-10803001,特工J：我们需要防守住现有阵地，不然计划就会失败！
guide_deployment-10803002,SP9:遵命，长官！
guide_deployment-10803003,我们得到了奈乐的位置信息。(点击标记点位可以关闭引导。)
guide_deployment-10805001,本次活动丹德莱在电子战当中可以对雷达点进行操作，之后的作战请善用这些雷达点。
guide_deployment-10805002,尝试发动传送。
guide_deployment-10805003,选择传送点位。
guide_deployment-10805004,丹德莱被强敌包围了请想办法拯救丹德莱。(此次活动中丹德莱无法接敌。)
guide_deployment-10806001,伊阿索之匣启动了，请注意倒计时。
guide_deployment-10806002,还有两回合就要爆炸了。
guide_deployment-10806003,这是最后一回合的机会了。
guide_deployment-10808001,炸弹可以拾取...
guide_deployment-10810001,有强力敌人堵住了目标点，需要想办法制造点动静。
guide_deployment-10810002,敌人被吸引开了但是入口被堵住了......
guide_deployment-10812001,敌方机甲组装完成，敌军士气大增。
guide_deployment-10812002,白色框内代表可以修理的次数。
guide_deployment-10812003,当梯队受损时点击白色框维修部队。
guide_deployment-10825001,本关我方可以在带有箭头标记处自动传送往箭头指向点位。(点击标记点位可以关闭引导。)
guide_deployment-10827001,本次活动丹德莱在电子战当中可以对雷达点进行操作，之后的作战请善用这些雷达点。
guide_deployment-10827002,注意:传送点上有同阵营单位将无法传送。
guide_deployment-10829001,注意:南北方向会出现敌人进攻......
guide_deployment-10830001,注意:小心避开安全防卫系统，不然此次作战失败......
guide_deployment-10832001,当梯队受损时可以利用维修点修复。
guide_deployment-10906001,点击按钮关闭战场说明。
guide_deployment-10906002,请使用友方梯队完成战役。
guide_deployment-10906003,目标是敌方指挥部。
guide_deployment-10906004,结束回合占领指挥部。
guide_deployment-10907001,AR-15最接近敌方指挥部但是连接指挥部的是单向路径请选择其他方式进攻。
guide_deployment-10907002,占领机场可以在下回合提供额外1点的行动点。
guide_deployment-10908001,检测到弹药不足，前方有补给点请指挥官安排补给。(在补给点上点击梯队)
guide_deployment-10908002,点击补给......
guide_deployment-10908003,点击要补给的梯队。
guide_deployment-10909001,点击此处扫描战场......
guide_deployment-10909002,点击敌人查看敌人配置......
guide_deployment-10909003,点击敌人头像查看敌人具体描述。
guide_deployment-10909004,查看敌人特性。
guide_deployment-10909005,再次点击此处可以返回继续指挥作战。
guide_deployment-10910001,前方有随机点，随机点走上去会触发随机事件。
