CameraField|41
CameraAngle|35
CameraHight|3
CameraRect|0,0,1,1
MissionMapMaxScale|1
MissionMapSize|8000,6000
MissionMapOffset|0,800
MoveLimitMin|2500,2900
MoveLimitMax|1200,1000
MoveOffset|-0.18,0.15,0,0.15
MissionMapName|Map
MissionSpotName|MissionSpot
MissionStartName|MissionStart
MissionSelectName|MissionSelect
MissionSelectEffectName|SelectEffect
MissionClockName|MissionClock
MissionPathName|MissionPath|0.02|#FF0000FF
MissionEffectName|
//MissionRewardCode|Arctic_Tip3
//MissionCampionRewardCode|Arctic_Tip3Big
SpotDeep|60
SpotNormalColor|#FFFFFFFF
SpotUnOpenColor|#818181FF
SpotDeepColor|#858996B8
PathNormalColor|#FF3709EB
PathDeepColor|#2E2E5817
PathLockColor|#4D4D4DAE
PathUnReachColor|#FF9A097B
MissionSpot|10508|-226,-683,-480|
MissionKey|0
CampionName|<color=#FFD700FF>3.엔드 게임</color>
